name,lot,substance,vial number,mass
U2026Ca_3380.wmv,U2026Ca,Fe3O4,3380,1
U2026Ca_3386.wmv,U2026Ca,Fe3O4,3386,1
U2026Ca_3379.wmv,U2026Ca,Fe3O4,3379,1
U2026Cb_3389.wmv,U2026Cb,SiO2 Fe3O4,3389,1
U2026Cc_3399.wmv,U2026Cc,SiO2 Fe3O4,3399,1
U2026Cd_3407.wmv,U2026Cd,SiO2 Fe3O4,3407,1
U2026Ce_3417.wmv,U2026Ce,SiO2 Fe3O4,3417,1
U2026Cf_3428.wmv,U2026Cf,SiO2 Fe3O4,3428,1
U2026Cg_3438.wmv,U2026Cg,SiO2 Fe3O4,3438,1
U2026Ch_3448.wmv,U2026Ch,SiO2 Fe3O4,3448,1
U2026Ci_3459.wmv,U2026Ci,SiO2 Fe3O4,3459,1
U2026Cj_3469.wmv,U2026Cj,SiO2 Fe3O4,3469,1
U2026Ck_3479.wmv,U2026Ck,SiO2 Fe3O4,3479,1
U2026Cl_3487.wmv,U2026Cl,SiO2 Fe3O4,3487,1
U2026Cm_3499.wmv,U2026Cm,SiO2 Fe3O4,3499,1
U2026Cn_3516.wmv,U2026Cn,SiO2 Fe3O4,3516,1
U2026Co_3520.wmv,U2026Co,SiO2 Fe3O4,3520,1
U2026Cp_3531.wmv,U2026Cp,SiO2 Fe3O4,3531,1
U2026Cq_3540.wmv,U2026Cq,SiO2 Fe3O4,3540,1
