frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,34,80,4.840677966101695,11.389830508474576
1,0.27027027027027023,34,80,4.840677966101695,11.389830508474576
2,0.5405405405405405,34,80,4.840677966101695,11.389830508474576
3,0.8108108108108107,34,72,4.840677966101695,10.250847457627119
4,1.081081081081081,34,72,4.840677966101695,10.250847457627119
5,1.3513513513513513,34,80,4.840677966101695,11.389830508474576
6,1.6216216216216215,34,72,4.840677966101695,10.250847457627119
7,1.8918918918918919,34,80,4.840677966101695,11.389830508474576
8,2.162162162162162,34,64,4.840677966101695,9.111864406779661
9,2.4324324324324325,34,67,4.840677966101695,9.538983050847458
10,2.7027027027027026,34,72,4.840677966101695,10.250847457627119
11,2.972972972972973,34,78,4.840677966101695,11.105084745762712
12,3.243243243243243,34,80,4.840677966101695,11.389830508474576
13,3.513513513513513,34,88,4.840677966101695,12.528813559322034
14,3.7837837837837838,34,92,4.840677966101695,13.098305084745762
15,4.0540540540540535,34,96,4.840677966101695,13.667796610169491
16,4.324324324324324,34,96,4.840677966101695,13.667796610169491
17,4.594594594594595,34,100,4.840677966101695,14.23728813559322
18,4.864864864864865,34,103,4.840677966101695,14.664406779661016
19,5.135135135135135,34,108,4.840677966101695,15.376271186440679
20,5.405405405405405,34,110,4.840677966101695,15.661016949152543
21,5.675675675675675,34,112,4.840677966101695,15.945762711864408
22,5.945945945945946,34,112,4.840677966101695,15.945762711864408
23,6.216216216216216,34,112,4.840677966101695,15.945762711864408
24,6.486486486486486,34,112,4.840677966101695,15.945762711864408
25,6.756756756756756,34,114,4.840677966101695,16.230508474576272
26,7.027027027027026,34,117,4.840677966101695,16.65762711864407
27,7.297297297297297,34,120,4.840677966101695,17.084745762711865
28,7.5675675675675675,34,124,4.840677966101695,17.654237288135594
29,7.837837837837838,34,128,4.840677966101695,18.223728813559323
30,8.108108108108107,34,128,4.840677966101695,18.223728813559323
31,8.378378378378377,34,130,4.840677966101695,18.508474576271187
32,8.648648648648647,34,132,4.840677966101695,18.79322033898305
33,8.91891891891892,34,136,4.840677966101695,19.36271186440678
34,9.18918918918919,34,138,4.840677966101695,19.647457627118644
35,9.45945945945946,34,139,4.840677966101695,19.789830508474576
36,9.72972972972973,34,139,4.840677966101695,19.789830508474576
