frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,34,48,4.840677966101695,6.8338983050847455
1,0.27027027027027023,34,44,4.840677966101695,6.264406779661017
2,0.5405405405405405,34,44,4.840677966101695,6.264406779661017
3,0.8108108108108107,34,44,4.840677966101695,6.264406779661017
4,1.081081081081081,34,44,4.840677966101695,6.264406779661017
5,1.3513513513513513,34,44,4.840677966101695,6.264406779661017
6,1.6216216216216215,34,44,4.840677966101695,6.264406779661017
7,1.8918918918918919,34,48,4.840677966101695,6.8338983050847455
8,2.162162162162162,34,60,4.840677966101695,8.542372881355933
9,2.4324324324324325,34,66,4.840677966101695,9.396610169491526
10,2.7027027027027026,34,72,4.840677966101695,10.250847457627119
11,2.972972972972973,34,79,4.840677966101695,11.247457627118644
12,3.243243243243243,34,80,4.840677966101695,11.389830508474576
13,3.513513513513513,34,84,4.840677966101695,11.959322033898305
14,3.7837837837837838,34,88,4.840677966101695,12.528813559322034
15,4.0540540540540535,34,92,4.840677966101695,13.098305084745762
16,4.324324324324324,34,96,4.840677966101695,13.667796610169491
17,4.594594594594595,34,96,4.840677966101695,13.667796610169491
18,4.864864864864865,34,96,4.840677966101695,13.667796610169491
19,5.135135135135135,34,96,4.840677966101695,13.667796610169491
20,5.405405405405405,34,104,4.840677966101695,14.80677966101695
21,5.675675675675675,34,107,4.840677966101695,15.233898305084747
22,5.945945945945946,34,110,4.840677966101695,15.661016949152543
23,6.216216216216216,34,112,4.840677966101695,15.945762711864408
24,6.486486486486486,34,115,4.840677966101695,16.372881355932204
25,6.756756756756756,34,118,4.840677966101695,16.8
26,7.027027027027026,34,120,4.840677966101695,17.084745762711865
27,7.297297297297297,34,123,4.840677966101695,17.51186440677966
28,7.5675675675675675,34,125,4.840677966101695,17.796610169491526
29,7.837837837837838,34,126,4.840677966101695,17.938983050847458
30,8.108108108108107,34,128,4.840677966101695,18.223728813559323
31,8.378378378378377,34,128,4.840677966101695,18.223728813559323
32,8.648648648648647,34,128,4.840677966101695,18.223728813559323
33,8.91891891891892,34,127,4.840677966101695,18.08135593220339
34,9.18918918918919,34,128,4.840677966101695,18.223728813559323
35,9.45945945945946,34,128,4.840677966101695,18.223728813559323
36,9.72972972972973,34,132,4.840677966101695,18.79322033898305
37,10.0,34,136,4.840677966101695,19.36271186440678
38,10.27027027027027,34,139,4.840677966101695,19.789830508474576
39,10.54054054054054,34,141,4.840677966101695,20.07457627118644
40,10.81081081081081,34,142,4.840677966101695,20.216949152542373
41,11.08108108108108,34,144,4.840677966101695,20.501694915254237
42,11.35135135135135,34,144,4.840677966101695,20.501694915254237
43,11.621621621621621,34,144,4.840677966101695,20.501694915254237
44,11.891891891891891,34,144,4.840677966101695,20.501694915254237
45,12.162162162162161,34,144,4.840677966101695,20.501694915254237
46,12.432432432432432,34,144,4.840677966101695,20.501694915254237
47,12.702702702702702,34,141,4.840677966101695,20.07457627118644
48,12.972972972972972,34,141,4.840677966101695,20.07457627118644
49,13.243243243243242,34,144,4.840677966101695,20.501694915254237
50,13.513513513513512,34,144,4.840677966101695,20.501694915254237
51,13.783783783783782,34,148,4.840677966101695,21.071186440677966
52,14.054054054054053,34,150,4.840677966101695,21.35593220338983
53,14.324324324324323,34,152,4.840677966101695,21.640677966101695
54,14.594594594594595,34,153,4.840677966101695,21.783050847457627
55,14.864864864864865,34,154,4.840677966101695,21.92542372881356
56,15.135135135135135,34,156,4.840677966101695,22.210169491525424
57,15.405405405405405,34,156,4.840677966101695,22.210169491525424
58,15.675675675675675,34,156,4.840677966101695,22.210169491525424
59,15.945945945945946,34,155,4.840677966101695,22.06779661016949
60,16.216216216216214,34,153,4.840677966101695,21.783050847457627
61,16.486486486486484,34,150,4.840677966101695,21.35593220338983
62,16.756756756756754,34,150,4.840677966101695,21.35593220338983
63,17.027027027027025,34,152,4.840677966101695,21.640677966101695
64,17.297297297297295,34,155,4.840677966101695,22.06779661016949
65,17.56756756756757,34,157,4.840677966101695,22.352542372881356
66,17.83783783783784,34,159,4.840677966101695,22.63728813559322
67,18.10810810810811,34,160,4.840677966101695,22.779661016949152
68,18.37837837837838,34,160,4.840677966101695,22.779661016949152
69,18.64864864864865,34,160,4.840677966101695,22.779661016949152
70,18.91891891891892,34,163,4.840677966101695,23.20677966101695
71,19.18918918918919,34,163,4.840677966101695,23.20677966101695
72,19.45945945945946,34,164,4.840677966101695,23.34915254237288
73,19.72972972972973,34,163,4.840677966101695,23.20677966101695
