frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,34,38,4.840677966101695,5.410169491525424
1,0.27027027027027023,34,39,4.840677966101695,5.552542372881356
2,0.5405405405405405,34,39,4.840677966101695,5.552542372881356
3,0.8108108108108107,34,39,4.840677966101695,5.552542372881356
4,1.081081081081081,34,39,4.840677966101695,5.552542372881356
5,1.3513513513513513,34,39,4.840677966101695,5.552542372881356
6,1.6216216216216215,34,39,4.840677966101695,5.552542372881356
7,1.8918918918918919,34,39,4.840677966101695,5.552542372881356
8,2.162162162162162,34,39,4.840677966101695,5.552542372881356
9,2.4324324324324325,34,39,4.840677966101695,5.552542372881356
10,2.7027027027027026,34,39,4.840677966101695,5.552542372881356
11,2.972972972972973,34,39,4.840677966101695,5.552542372881356
12,3.243243243243243,34,48,4.840677966101695,6.8338983050847455
13,3.513513513513513,34,56,4.840677966101695,7.972881355932204
14,3.7837837837837838,34,64,4.840677966101695,9.111864406779661
15,4.0540540540540535,34,70,4.840677966101695,9.966101694915254
16,4.324324324324324,34,75,4.840677966101695,10.677966101694915
17,4.594594594594595,34,80,4.840677966101695,11.389830508474576
18,4.864864864864865,34,85,4.840677966101695,12.101694915254237
19,5.135135135135135,34,91,4.840677966101695,12.95593220338983
20,5.405405405405405,34,96,4.840677966101695,13.667796610169491
21,5.675675675675675,36,101,5.125423728813559,14.379661016949152
22,5.945945945945946,40,106,5.694915254237288,15.091525423728815
23,6.216216216216216,44,112,6.264406779661017,15.945762711864408
24,6.486486486486486,48,117,6.8338983050847455,16.65762711864407
25,6.756756756756756,52,122,7.403389830508475,17.36949152542373
26,7.027027027027026,52,127,7.403389830508475,18.08135593220339
27,7.297297297297297,55,128,7.830508474576272,18.223728813559323
28,7.5675675675675675,58,132,8.257627118644068,18.79322033898305
29,7.837837837837838,61,140,8.684745762711865,19.93220338983051
30,8.108108108108107,64,144,9.111864406779661,20.501694915254237
31,8.378378378378377,66,144,9.396610169491526,20.501694915254237
32,8.648648648648647,68,148,9.68135593220339,21.071186440677966
33,8.91891891891892,72,152,10.250847457627119,21.640677966101695
34,9.18918918918919,74,156,10.535593220338983,22.210169491525424
35,9.45945945945946,76,160,10.820338983050847,22.779661016949152
36,9.72972972972973,80,163,11.389830508474576,23.20677966101695
37,10.0,82,168,11.67457627118644,23.91864406779661
38,10.27027027027027,84,171,11.959322033898305,24.345762711864406
39,10.54054054054054,84,174,11.959322033898305,24.772881355932203
40,10.81081081081081,87,176,12.386440677966101,25.057627118644067
41,11.08108108108108,87,180,12.386440677966101,25.627118644067796
42,11.35135135135135,88,182,12.528813559322034,25.91186440677966
43,11.621621621621621,89,185,12.671186440677966,26.338983050847457
44,11.891891891891891,90,188,12.813559322033898,26.766101694915253
45,12.162162162162161,92,192,13.098305084745762,27.335593220338982
46,12.432432432432432,96,192,13.667796610169491,27.335593220338982
47,12.702702702702702,99,196,14.094915254237288,27.90508474576271
48,12.972972972972972,96,198,13.667796610169491,28.189830508474575
49,13.243243243243242,98,200,13.952542372881355,28.47457627118644
50,13.513513513513512,99,202,14.094915254237288,28.759322033898304
51,13.783783783783782,100,204,14.23728813559322,29.044067796610168
52,14.054054054054053,101,206,14.379661016949152,29.328813559322032
53,14.324324324324323,102,208,14.522033898305084,29.6135593220339
54,14.594594594594595,104,208,14.80677966101695,29.6135593220339
55,14.864864864864865,104,210,14.80677966101695,29.898305084745765
56,15.135135135135135,106,212,15.091525423728815,30.18305084745763
57,15.405405405405405,105,216,14.949152542372882,30.752542372881358
58,15.675675675675675,97,218,13.810169491525423,31.037288135593222
59,15.945945945945946,97,220,13.810169491525423,31.322033898305087
60,16.216216216216214,112,222,15.945762711864408,31.60677966101695
61,16.486486486486484,113,224,16.08813559322034,31.891525423728815
62,16.756756756756754,115,224,16.372881355932204,31.891525423728815
63,17.027027027027025,116,224,16.515254237288136,31.891525423728815
64,17.297297297297295,117,228,16.65762711864407,32.461016949152544
65,17.56756756756757,117,229,16.65762711864407,32.603389830508476
66,17.83783783783784,120,231,17.084745762711865,32.88813559322034
67,18.10810810810811,121,233,17.227118644067797,33.172881355932205
68,18.37837837837838,122,235,17.36949152542373,33.45762711864407
69,18.64864864864865,124,237,17.654237288135594,33.742372881355934
70,18.91891891891892,124,240,17.654237288135594,34.16949152542373
71,19.18918918918919,124,240,17.654237288135594,34.16949152542373
72,19.45945945945946,124,240,17.654237288135594,34.16949152542373
73,19.72972972972973,128,244,18.223728813559323,34.73898305084746
74,20.0,128,246,18.223728813559323,35.02372881355932
75,20.27027027027027,129,247,18.366101694915255,35.166101694915255
76,20.54054054054054,133,249,18.935593220338983,35.45084745762712
77,20.81081081081081,133,249,18.935593220338983,35.45084745762712
78,21.08108108108108,135,250,19.220338983050848,35.59322033898305
79,21.35135135135135,137,251,19.505084745762712,35.735593220338984
80,21.62162162162162,136,252,19.36271186440678,35.877966101694916
81,21.89189189189189,138,254,19.647457627118644,36.16271186440678
82,22.16216216216216,139,256,19.789830508474576,36.447457627118645
83,22.43243243243243,144,256,20.501694915254237,36.447457627118645
84,22.7027027027027,144,256,20.501694915254237,36.447457627118645
85,22.972972972972972,144,260,20.501694915254237,37.016949152542374
86,23.243243243243242,145,262,20.64406779661017,37.30169491525424
87,23.513513513513512,146,263,20.7864406779661,37.44406779661017
88,23.783783783783782,148,265,21.071186440677966,37.728813559322035
89,24.054054054054053,148,266,21.071186440677966,37.87118644067797
90,24.324324324324323,150,268,21.35593220338983,38.15593220338983
91,24.594594594594593,152,269,21.640677966101695,38.29830508474576
92,24.864864864864863,153,270,21.783050847457627,38.440677966101696
93,25.135135135135133,155,270,22.06779661016949,38.440677966101696
94,25.405405405405403,160,271,22.779661016949152,38.58305084745763
95,25.675675675675674,161,272,22.922033898305084,38.72542372881356
96,25.945945945945944,161,272,22.922033898305084,38.72542372881356
97,26.216216216216214,160,274,22.779661016949152,39.010169491525424
98,26.486486486486484,160,276,22.779661016949152,39.29491525423729
99,26.756756756756754,161,280,22.922033898305084,39.86440677966102
100,27.027027027027025,162,281,23.064406779661017,40.00677966101695
101,27.297297297297295,164,283,23.34915254237288,40.291525423728814
102,27.567567567567565,165,283,23.491525423728813,40.291525423728814
103,27.837837837837835,167,284,23.776271186440677,40.433898305084746
104,28.108108108108105,169,284,24.061016949152542,40.433898305084746
105,28.378378378378375,171,285,24.345762711864406,40.57627118644068
106,28.648648648648646,172,284,24.48813559322034,40.433898305084746
107,28.91891891891892,176,285,25.057627118644067,40.57627118644068
108,29.18918918918919,176,286,25.057627118644067,40.71864406779661
109,29.45945945945946,177,288,25.2,41.003389830508475
110,29.72972972972973,178,288,25.34237288135593,41.003389830508475
111,30.0,179,292,25.484745762711864,41.5728813559322
112,30.27027027027027,179,294,25.484745762711864,41.85762711864407
113,30.54054054054054,179,296,25.484745762711864,42.14237288135593
114,30.81081081081081,180,298,25.627118644067796,42.4271186440678
115,31.08108108108108,182,299,25.91186440677966,42.56949152542373
116,31.35135135135135,183,300,26.054237288135592,42.71186440677966
117,31.62162162162162,185,301,26.338983050847457,42.85423728813559
118,31.89189189189189,186,302,26.48135593220339,42.996610169491525
119,32.16216216216216,188,302,26.766101694915253,42.996610169491525
120,32.43243243243243,192,302,27.335593220338982,42.996610169491525
121,32.7027027027027,192,302,27.335593220338982,42.996610169491525
122,32.97297297297297,192,304,27.335593220338982,43.28135593220339
123,33.24324324324324,193,304,27.477966101694914,43.28135593220339
124,33.51351351351351,194,304,27.620338983050846,43.28135593220339
125,33.78378378378378,196,307,27.90508474576271,43.708474576271186
126,34.05405405405405,195,309,27.76271186440678,43.99322033898305
127,34.32432432432432,196,311,27.90508474576271,44.277966101694915
128,34.59459459459459,197,313,28.047457627118643,44.56271186440678
129,34.86486486486486,198,314,28.189830508474575,44.70508474576271
130,35.13513513513514,200,316,28.47457627118644,44.989830508474576
131,35.4054054054054,202,317,28.759322033898304,45.13220338983051
132,35.67567567567568,204,317,29.044067796610168,45.13220338983051
133,35.945945945945944,208,318,29.6135593220339,45.27457627118644
134,36.21621621621622,208,320,29.6135593220339,45.559322033898304
135,36.486486486486484,209,320,29.755932203389833,45.559322033898304
