frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,34,64,4.840677966101695,9.111864406779661
1,0.27027027027027023,34,64,4.840677966101695,9.111864406779661
2,0.5405405405405405,34,52,4.840677966101695,7.403389830508475
3,0.8108108108108107,34,52,4.840677966101695,7.403389830508475
4,1.081081081081081,34,56,4.840677966101695,7.972881355932204
5,1.3513513513513513,34,62,4.840677966101695,8.827118644067797
6,1.6216216216216215,34,64,4.840677966101695,9.111864406779661
7,1.8918918918918919,34,72,4.840677966101695,10.250847457627119
8,2.162162162162162,34,77,4.840677966101695,10.96271186440678
9,2.4324324324324325,34,80,4.840677966101695,11.389830508474576
10,2.7027027027027026,34,84,4.840677966101695,11.959322033898305
11,2.972972972972973,34,88,4.840677966101695,12.528813559322034
12,3.243243243243243,34,91,4.840677966101695,12.95593220338983
13,3.513513513513513,34,94,4.840677966101695,13.383050847457627
14,3.7837837837837838,34,96,4.840677966101695,13.667796610169491
15,4.0540540540540535,34,96,4.840677966101695,13.667796610169491
16,4.324324324324324,34,100,4.840677966101695,14.23728813559322
17,4.594594594594595,34,100,4.840677966101695,14.23728813559322
18,4.864864864864865,34,100,4.840677966101695,14.23728813559322
19,5.135135135135135,34,101,4.840677966101695,14.379661016949152
20,5.405405405405405,34,104,4.840677966101695,14.80677966101695
21,5.675675675675675,34,106,4.840677966101695,15.091525423728815
22,5.945945945945946,34,108,4.840677966101695,15.376271186440679
23,6.216216216216216,34,110,4.840677966101695,15.661016949152543
24,6.486486486486486,34,112,4.840677966101695,15.945762711864408
25,6.756756756756756,34,112,4.840677966101695,15.945762711864408
26,7.027027027027026,34,116,4.840677966101695,16.515254237288136
27,7.297297297297297,34,117,4.840677966101695,16.65762711864407
28,7.5675675675675675,34,120,4.840677966101695,17.084745762711865
29,7.837837837837838,34,121,4.840677966101695,17.227118644067797
30,8.108108108108107,34,122,4.840677966101695,17.36949152542373
31,8.378378378378377,34,123,4.840677966101695,17.51186440677966
32,8.648648648648647,34,123,4.840677966101695,17.51186440677966
33,8.91891891891892,34,121,4.840677966101695,17.227118644067797
34,9.18918918918919,34,123,4.840677966101695,17.51186440677966
35,9.45945945945946,34,124,4.840677966101695,17.654237288135594
36,9.72972972972973,34,126,4.840677966101695,17.938983050847458
37,10.0,34,128,4.840677966101695,18.223728813559323
38,10.27027027027027,34,128,4.840677966101695,18.223728813559323
39,10.54054054054054,34,130,4.840677966101695,18.508474576271187
40,10.81081081081081,34,132,4.840677966101695,18.79322033898305
41,11.08108108108108,34,136,4.840677966101695,19.36271186440678
42,11.35135135135135,34,137,4.840677966101695,19.505084745762712
43,11.621621621621621,34,138,4.840677966101695,19.647457627118644
44,11.891891891891891,34,138,4.840677966101695,19.647457627118644
45,12.162162162162161,34,137,4.840677966101695,19.505084745762712
46,12.432432432432432,34,136,4.840677966101695,19.36271186440678
47,12.702702702702702,34,135,4.840677966101695,19.220338983050848
48,12.972972972972972,34,135,4.840677966101695,19.220338983050848
49,13.243243243243242,34,138,4.840677966101695,19.647457627118644
50,13.513513513513512,34,140,4.840677966101695,19.93220338983051
51,13.783783783783782,34,142,4.840677966101695,20.216949152542373
52,14.054054054054053,34,144,4.840677966101695,20.501694915254237
53,14.324324324324323,34,144,4.840677966101695,20.501694915254237
54,14.594594594594595,34,144,4.840677966101695,20.501694915254237
55,14.864864864864865,34,147,4.840677966101695,20.928813559322034
56,15.135135135135135,34,148,4.840677966101695,21.071186440677966
57,15.405405405405405,34,149,4.840677966101695,21.2135593220339
58,15.675675675675675,34,149,4.840677966101695,21.2135593220339
59,15.945945945945946,34,148,4.840677966101695,21.071186440677966
60,16.216216216216214,34,148,4.840677966101695,21.071186440677966
61,16.486486486486484,34,144,4.840677966101695,20.501694915254237
62,16.756756756756754,34,144,4.840677966101695,20.501694915254237
63,17.027027027027025,34,148,4.840677966101695,21.071186440677966
64,17.297297297297295,34,150,4.840677966101695,21.35593220338983
65,17.56756756756757,34,152,4.840677966101695,21.640677966101695
66,17.83783783783784,34,155,4.840677966101695,22.06779661016949
67,18.10810810810811,34,157,4.840677966101695,22.352542372881356
68,18.37837837837838,34,158,4.840677966101695,22.494915254237288
69,18.64864864864865,34,160,4.840677966101695,22.779661016949152
70,18.91891891891892,34,160,4.840677966101695,22.779661016949152
71,19.18918918918919,34,160,4.840677966101695,22.779661016949152
72,19.45945945945946,34,160,4.840677966101695,22.779661016949152
73,19.72972972972973,34,160,4.840677966101695,22.779661016949152
74,20.0,34,160,4.840677966101695,22.779661016949152
75,20.27027027027027,34,159,4.840677966101695,22.63728813559322
76,20.54054054054054,34,160,4.840677966101695,22.779661016949152
77,20.81081081081081,34,160,4.840677966101695,22.779661016949152
78,21.08108108108108,34,161,4.840677966101695,22.922033898305084
79,21.35135135135135,34,164,4.840677966101695,23.34915254237288
80,21.62162162162162,34,166,4.840677966101695,23.633898305084745
81,21.89189189189189,34,168,4.840677966101695,23.91864406779661
82,22.16216216216216,34,170,4.840677966101695,24.203389830508474
83,22.43243243243243,34,171,4.840677966101695,24.345762711864406
84,22.7027027027027,34,172,4.840677966101695,24.48813559322034
85,22.972972972972972,34,172,4.840677966101695,24.48813559322034
86,23.243243243243242,34,172,4.840677966101695,24.48813559322034
87,23.513513513513512,34,172,4.840677966101695,24.48813559322034
88,23.783783783783782,34,168,4.840677966101695,23.91864406779661
89,24.054054054054053,34,167,4.840677966101695,23.776271186440677
90,24.324324324324323,34,167,4.840677966101695,23.776271186440677
91,24.594594594594593,34,170,4.840677966101695,24.203389830508474
92,24.864864864864863,34,173,4.840677966101695,24.63050847457627
93,25.135135135135133,34,174,4.840677966101695,24.772881355932203
94,25.405405405405403,34,176,4.840677966101695,25.057627118644067
95,25.675675675675674,34,177,4.840677966101695,25.2
96,25.945945945945944,34,180,4.840677966101695,25.627118644067796
97,26.216216216216214,34,181,4.840677966101695,25.769491525423728
98,26.486486486486484,34,184,4.840677966101695,26.196610169491525
99,26.756756756756754,34,185,4.840677966101695,26.338983050847457
100,27.027027027027025,34,184,4.840677966101695,26.196610169491525
101,27.297297297297295,34,179,4.840677966101695,25.484745762711864
102,27.567567567567565,34,176,4.840677966101695,25.057627118644067
103,27.837837837837835,34,176,4.840677966101695,25.057627118644067
104,28.108108108108105,34,176,4.840677966101695,25.057627118644067
105,28.378378378378375,34,177,4.840677966101695,25.2
106,28.648648648648646,34,180,4.840677966101695,25.627118644067796
107,28.91891891891892,34,184,4.840677966101695,26.196610169491525
108,29.18918918918919,34,186,4.840677966101695,26.48135593220339
109,29.45945945945946,34,188,4.840677966101695,26.766101694915253
110,29.72972972972973,34,192,4.840677966101695,27.335593220338982
111,30.0,34,192,4.840677966101695,27.335593220338982
112,30.27027027027027,34,192,4.840677966101695,27.335593220338982
113,30.54054054054054,34,192,4.840677966101695,27.335593220338982
114,30.81081081081081,34,192,4.840677966101695,27.335593220338982
115,31.08108108108108,34,192,4.840677966101695,27.335593220338982
116,31.35135135135135,34,191,4.840677966101695,27.19322033898305
117,31.62162162162162,34,191,4.840677966101695,27.19322033898305
118,31.89189189189189,34,191,4.840677966101695,27.19322033898305
119,32.16216216216216,34,192,4.840677966101695,27.335593220338982
120,32.43243243243243,34,192,4.840677966101695,27.335593220338982
121,32.7027027027027,34,192,4.840677966101695,27.335593220338982
122,32.97297297297297,34,196,4.840677966101695,27.90508474576271
123,33.24324324324324,34,197,4.840677966101695,28.047457627118643
124,33.51351351351351,34,200,4.840677966101695,28.47457627118644
125,33.78378378378378,34,204,4.840677966101695,29.044067796610168
126,34.05405405405405,34,204,4.840677966101695,29.044067796610168
127,34.32432432432432,34,203,4.840677966101695,28.901694915254236
128,34.59459459459459,34,203,4.840677966101695,28.901694915254236
129,34.86486486486486,34,199,4.840677966101695,28.332203389830507
130,35.13513513513514,34,192,4.840677966101695,27.335593220338982
131,35.4054054054054,34,192,4.840677966101695,27.335593220338982
132,35.67567567567568,34,196,4.840677966101695,27.90508474576271
133,35.945945945945944,34,199,4.840677966101695,28.332203389830507
134,36.21621621621622,34,200,4.840677966101695,28.47457627118644
135,36.486486486486484,34,200,4.840677966101695,28.47457627118644
136,36.75675675675676,34,204,4.840677966101695,29.044067796610168
137,37.027027027027025,34,208,4.840677966101695,29.6135593220339
138,37.2972972972973,34,210,4.840677966101695,29.898305084745765
139,37.567567567567565,34,211,4.840677966101695,30.040677966101697
140,37.83783783783784,34,212,4.840677966101695,30.18305084745763
141,38.108108108108105,34,212,4.840677966101695,30.18305084745763
142,38.37837837837838,34,209,4.840677966101695,29.755932203389833
143,38.648648648648646,34,208,4.840677966101695,29.6135593220339
144,38.91891891891892,34,208,4.840677966101695,29.6135593220339
145,39.189189189189186,34,208,4.840677966101695,29.6135593220339
146,39.45945945945946,34,208,4.840677966101695,29.6135593220339
147,39.729729729729726,34,208,4.840677966101695,29.6135593220339
148,40.0,34,208,4.840677966101695,29.6135593220339
149,40.27027027027027,34,212,4.840677966101695,30.18305084745763
150,40.54054054054054,34,214,4.840677966101695,30.467796610169493
151,40.81081081081081,34,216,4.840677966101695,30.752542372881358
152,41.08108108108108,34,217,4.840677966101695,30.89491525423729
153,41.35135135135135,34,220,4.840677966101695,31.322033898305087
154,41.62162162162162,34,221,4.840677966101695,31.46440677966102
155,41.89189189189189,34,221,4.840677966101695,31.46440677966102
156,42.16216216216216,34,219,4.840677966101695,31.179661016949154
157,42.43243243243243,34,215,4.840677966101695,30.610169491525426
158,42.7027027027027,34,208,4.840677966101695,29.6135593220339
159,42.97297297297297,34,208,4.840677966101695,29.6135593220339
160,43.24324324324324,34,208,4.840677966101695,29.6135593220339
161,43.51351351351351,34,212,4.840677966101695,30.18305084745763
162,43.78378378378378,34,216,4.840677966101695,30.752542372881358
163,44.05405405405405,34,220,4.840677966101695,31.322033898305087
164,44.32432432432432,34,223,4.840677966101695,31.749152542372883
165,44.59459459459459,34,225,4.840677966101695,32.03389830508475
166,44.86486486486486,34,228,4.840677966101695,32.461016949152544
167,45.13513513513513,34,229,4.840677966101695,32.603389830508476
168,45.4054054054054,34,229,4.840677966101695,32.603389830508476
169,45.67567567567567,34,229,4.840677966101695,32.603389830508476
170,45.945945945945944,34,224,4.840677966101695,31.891525423728815
171,46.21621621621621,34,224,4.840677966101695,31.891525423728815
172,46.486486486486484,34,224,4.840677966101695,31.891525423728815
173,46.75675675675676,34,221,4.840677966101695,31.46440677966102
174,47.027027027027025,34,224,4.840677966101695,31.891525423728815
175,47.2972972972973,34,224,4.840677966101695,31.891525423728815
176,47.567567567567565,34,224,4.840677966101695,31.891525423728815
177,47.83783783783784,34,226,4.840677966101695,32.17627118644068
178,48.108108108108105,34,230,4.840677966101695,32.74576271186441
179,48.37837837837838,34,232,4.840677966101695,33.03050847457627
180,48.648648648648646,34,233,4.840677966101695,33.172881355932205
181,48.91891891891892,34,234,4.840677966101695,33.31525423728814
182,49.189189189189186,35,236,4.983050847457627,33.6
183,49.45945945945946,36,236,5.125423728813559,33.6
184,49.729729729729726,36,231,5.125423728813559,32.88813559322034
185,50.0,36,228,5.125423728813559,32.461016949152544
186,50.27027027027027,36,224,5.125423728813559,31.891525423728815
187,50.54054054054054,36,228,5.125423728813559,32.461016949152544
188,50.81081081081081,36,224,5.125423728813559,31.891525423728815
189,51.08108108108108,36,228,5.125423728813559,32.461016949152544
190,51.35135135135135,36,233,5.125423728813559,33.172881355932205
191,51.62162162162162,36,236,5.125423728813559,33.6
192,51.89189189189189,36,240,5.125423728813559,34.16949152542373
193,52.16216216216216,37,240,5.2677966101694915,34.16949152542373
194,52.43243243243243,38,240,5.410169491525424,34.16949152542373
195,52.7027027027027,39,240,5.552542372881356,34.16949152542373
196,52.97297297297297,39,240,5.552542372881356,34.16949152542373
197,53.24324324324324,39,240,5.552542372881356,34.16949152542373
