frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,0,0,0.0,0.0
1,0.27027027027027023,0,0,0.0,0.0
2,0.5405405405405405,0,0,0.0,0.0
3,0.8108108108108107,0,0,0.0,0.0
4,1.081081081081081,0,0,0.0,0.0
5,1.3513513513513513,34,39,4.840677966101695,5.552542372881356
6,1.6216216216216215,34,46,4.840677966101695,6.549152542372881
7,1.8918918918918919,34,56,4.840677966101695,7.972881355932204
8,2.162162162162162,34,64,4.840677966101695,9.111864406779661
9,2.4324324324324325,34,70,4.840677966101695,9.966101694915254
10,2.7027027027027026,34,76,4.840677966101695,10.820338983050847
11,2.972972972972973,34,80,4.840677966101695,11.389830508474576
12,3.243243243243243,34,88,4.840677966101695,12.528813559322034
13,3.513513513513513,34,94,4.840677966101695,13.383050847457627
14,3.7837837837837838,38,98,5.410169491525424,13.952542372881355
15,4.0540540540540535,41,104,5.83728813559322,14.80677966101695
16,4.324324324324324,44,110,6.264406779661017,15.661016949152543
17,4.594594594594595,48,116,6.8338983050847455,16.515254237288136
18,4.864864864864865,52,121,7.403389830508475,17.227118644067797
19,5.135135135135135,54,125,7.6881355932203395,17.796610169491526
20,5.405405405405405,57,130,8.115254237288136,18.508474576271187
21,5.675675675675675,60,134,8.542372881355933,19.077966101694916
22,5.945945945945946,64,138,9.111864406779661,19.647457627118644
23,6.216216216216216,66,142,9.396610169491526,20.216949152542373
24,6.486486486486486,70,144,9.966101694915254,20.501694915254237
25,6.756756756756756,73,148,10.39322033898305,21.071186440677966
26,7.027027027027026,79,152,11.247457627118644,21.640677966101695
27,7.297297297297297,80,156,11.389830508474576,22.210169491525424
28,7.5675675675675675,83,160,11.816949152542373,22.779661016949152
29,7.837837837837838,84,161,11.959322033898305,22.922033898305084
30,8.108108108108107,86,164,12.24406779661017,23.34915254237288
31,8.378378378378377,88,168,12.528813559322034,23.91864406779661
32,8.648648648648647,90,172,12.813559322033898,24.48813559322034
33,8.91891891891892,92,176,13.098305084745762,25.057627118644067
34,9.18918918918919,96,179,13.667796610169491,25.484745762711864
35,9.45945945945946,96,182,13.667796610169491,25.91186440677966
36,9.72972972972973,96,185,13.667796610169491,26.338983050847457
37,10.0,98,188,13.952542372881355,26.766101694915253
38,10.27027027027027,100,190,14.23728813559322,27.050847457627118
39,10.54054054054054,102,192,14.522033898305084,27.335593220338982
40,10.81081081081081,104,196,14.80677966101695,27.90508474576271
41,11.08108108108108,106,198,15.091525423728815,28.189830508474575
42,11.35135135135135,107,200,15.233898305084747,28.47457627118644
43,11.621621621621621,109,202,15.518644067796611,28.759322033898304
44,11.891891891891891,112,205,15.945762711864408,29.1864406779661
45,12.162162162162161,112,208,15.945762711864408,29.6135593220339
46,12.432432432432432,112,208,15.945762711864408,29.6135593220339
47,12.702702702702702,113,212,16.08813559322034,30.18305084745763
48,12.972972972972972,115,215,16.372881355932204,30.610169491525426
