frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,34,64,4.840677966101695,9.111864406779661
1,0.27027027027027023,34,64,4.840677966101695,9.111864406779661
2,0.5405405405405405,34,52,4.840677966101695,7.403389830508475
3,0.8108108108108107,34,52,4.840677966101695,7.403389830508475
4,1.081081081081081,34,57,4.840677966101695,8.115254237288136
5,1.3513513513513513,34,64,4.840677966101695,9.111864406779661
6,1.6216216216216215,34,70,4.840677966101695,9.966101694915254
7,1.8918918918918919,34,76,4.840677966101695,10.820338983050847
8,2.162162162162162,34,80,4.840677966101695,11.389830508474576
9,2.4324324324324325,34,80,4.840677966101695,11.389830508474576
10,2.7027027027027026,34,84,4.840677966101695,11.959322033898305
11,2.972972972972973,34,87,4.840677966101695,12.386440677966101
12,3.243243243243243,34,91,4.840677966101695,12.95593220338983
13,3.513513513513513,34,94,4.840677966101695,13.383050847457627
14,3.7837837837837838,34,96,4.840677966101695,13.667796610169491
15,4.0540540540540535,34,100,4.840677966101695,14.23728813559322
16,4.324324324324324,34,102,4.840677966101695,14.522033898305084
17,4.594594594594595,34,105,4.840677966101695,14.949152542372882
18,4.864864864864865,34,108,4.840677966101695,15.376271186440679
19,5.135135135135135,34,110,4.840677966101695,15.661016949152543
20,5.405405405405405,34,112,4.840677966101695,15.945762711864408
21,5.675675675675675,34,112,4.840677966101695,15.945762711864408
22,5.945945945945946,34,112,4.840677966101695,15.945762711864408
23,6.216216216216216,34,112,4.840677966101695,15.945762711864408
24,6.486486486486486,34,109,4.840677966101695,15.518644067796611
25,6.756756756756756,34,111,4.840677966101695,15.803389830508475
26,7.027027027027026,34,112,4.840677966101695,15.945762711864408
27,7.297297297297297,34,116,4.840677966101695,16.515254237288136
28,7.5675675675675675,34,120,4.840677966101695,17.084745762711865
29,7.837837837837838,34,122,4.840677966101695,17.36949152542373
30,8.108108108108107,34,124,4.840677966101695,17.654237288135594
31,8.378378378378377,34,126,4.840677966101695,17.938983050847458
32,8.648648648648647,34,128,4.840677966101695,18.223728813559323
33,8.91891891891892,34,128,4.840677966101695,18.223728813559323
34,9.18918918918919,34,129,4.840677966101695,18.366101694915255
35,9.45945945945946,34,132,4.840677966101695,18.79322033898305
36,9.72972972972973,34,131,4.840677966101695,18.65084745762712
37,10.0,34,129,4.840677966101695,18.366101694915255
38,10.27027027027027,34,128,4.840677966101695,18.223728813559323
39,10.54054054054054,34,126,4.840677966101695,17.938983050847458
40,10.81081081081081,34,128,4.840677966101695,18.223728813559323
41,11.08108108108108,34,128,4.840677966101695,18.223728813559323
42,11.35135135135135,34,132,4.840677966101695,18.79322033898305
43,11.621621621621621,34,134,4.840677966101695,19.077966101694916
44,11.891891891891891,34,136,4.840677966101695,19.36271186440678
45,12.162162162162161,34,140,4.840677966101695,19.93220338983051
46,12.432432432432432,34,141,4.840677966101695,20.07457627118644
47,12.702702702702702,34,142,4.840677966101695,20.216949152542373
48,12.972972972972972,34,144,4.840677966101695,20.501694915254237
49,13.243243243243242,34,143,4.840677966101695,20.359322033898305
50,13.513513513513512,34,142,4.840677966101695,20.216949152542373
51,13.783783783783782,34,140,4.840677966101695,19.93220338983051
52,14.054054054054053,34,134,4.840677966101695,19.077966101694916
53,14.324324324324323,34,132,4.840677966101695,18.79322033898305
54,14.594594594594595,34,134,4.840677966101695,19.077966101694916
55,14.864864864864865,34,138,4.840677966101695,19.647457627118644
56,15.135135135135135,34,140,4.840677966101695,19.93220338983051
57,15.405405405405405,34,143,4.840677966101695,20.359322033898305
58,15.675675675675675,34,144,4.840677966101695,20.501694915254237
59,15.945945945945946,34,144,4.840677966101695,20.501694915254237
60,16.216216216216214,34,145,4.840677966101695,20.64406779661017
61,16.486486486486484,34,148,4.840677966101695,21.071186440677966
62,16.756756756756754,34,149,4.840677966101695,21.2135593220339
63,17.027027027027025,34,149,4.840677966101695,21.2135593220339
64,17.297297297297295,34,145,4.840677966101695,20.64406779661017
65,17.56756756756757,34,144,4.840677966101695,20.501694915254237
66,17.83783783783784,34,140,4.840677966101695,19.93220338983051
67,18.10810810810811,34,136,4.840677966101695,19.36271186440678
68,18.37837837837838,34,139,4.840677966101695,19.789830508474576
69,18.64864864864865,34,144,4.840677966101695,20.501694915254237
70,18.91891891891892,34,144,4.840677966101695,20.501694915254237
71,19.18918918918919,34,148,4.840677966101695,21.071186440677966
72,19.45945945945946,34,150,4.840677966101695,21.35593220338983
73,19.72972972972973,34,152,4.840677966101695,21.640677966101695
74,20.0,34,153,4.840677966101695,21.783050847457627
75,20.27027027027027,34,154,4.840677966101695,21.92542372881356
76,20.54054054054054,34,155,4.840677966101695,22.06779661016949
77,20.81081081081081,34,155,4.840677966101695,22.06779661016949
78,21.08108108108108,34,154,4.840677966101695,21.92542372881356
79,21.35135135135135,34,152,4.840677966101695,21.640677966101695
80,21.62162162162162,34,148,4.840677966101695,21.071186440677966
81,21.89189189189189,34,144,4.840677966101695,20.501694915254237
82,22.16216216216216,34,144,4.840677966101695,20.501694915254237
83,22.43243243243243,34,148,4.840677966101695,21.071186440677966
84,22.7027027027027,34,152,4.840677966101695,21.640677966101695
85,22.972972972972972,34,154,4.840677966101695,21.92542372881356
86,23.243243243243242,34,156,4.840677966101695,22.210169491525424
87,23.513513513513512,34,158,4.840677966101695,22.494915254237288
88,23.783783783783782,34,160,4.840677966101695,22.779661016949152
89,24.054054054054053,34,160,4.840677966101695,22.779661016949152
90,24.324324324324323,34,160,4.840677966101695,22.779661016949152
91,24.594594594594593,34,160,4.840677966101695,22.779661016949152
92,24.864864864864863,34,159,4.840677966101695,22.63728813559322
93,25.135135135135133,34,157,4.840677966101695,22.352542372881356
94,25.405405405405403,34,154,4.840677966101695,21.92542372881356
95,25.675675675675674,34,149,4.840677966101695,21.2135593220339
96,25.945945945945944,34,150,4.840677966101695,21.35593220338983
97,26.216216216216214,34,155,4.840677966101695,22.06779661016949
98,26.486486486486484,34,159,4.840677966101695,22.63728813559322
99,26.756756756756754,34,160,4.840677966101695,22.779661016949152
100,27.027027027027025,34,160,4.840677966101695,22.779661016949152
101,27.297297297297295,34,164,4.840677966101695,23.34915254237288
102,27.567567567567565,34,165,4.840677966101695,23.491525423728813
103,27.837837837837835,34,166,4.840677966101695,23.633898305084745
104,28.108108108108105,34,167,4.840677966101695,23.776271186440677
105,28.378378378378375,34,167,4.840677966101695,23.776271186440677
106,28.648648648648646,34,166,4.840677966101695,23.633898305084745
107,28.91891891891892,34,165,4.840677966101695,23.491525423728813
108,29.18918918918919,34,160,4.840677966101695,22.779661016949152
109,29.45945945945946,34,156,4.840677966101695,22.210169491525424
110,29.72972972972973,34,156,4.840677966101695,22.210169491525424
111,30.0,34,160,4.840677966101695,22.779661016949152
112,30.27027027027027,34,160,4.840677966101695,22.779661016949152
113,30.54054054054054,34,164,4.840677966101695,23.34915254237288
114,30.81081081081081,34,168,4.840677966101695,23.91864406779661
115,31.08108108108108,34,169,4.840677966101695,24.061016949152542
116,31.35135135135135,34,172,4.840677966101695,24.48813559322034
117,31.62162162162162,34,173,4.840677966101695,24.63050847457627
118,31.89189189189189,34,174,4.840677966101695,24.772881355932203
119,32.16216216216216,34,174,4.840677966101695,24.772881355932203
120,32.43243243243243,34,174,4.840677966101695,24.772881355932203
121,32.7027027027027,34,172,4.840677966101695,24.48813559322034
122,32.97297297297297,34,169,4.840677966101695,24.061016949152542
123,33.24324324324324,34,164,4.840677966101695,23.34915254237288
124,33.51351351351351,34,160,4.840677966101695,22.779661016949152
125,33.78378378378378,34,164,4.840677966101695,23.34915254237288
126,34.05405405405405,34,168,4.840677966101695,23.91864406779661
127,34.32432432432432,34,172,4.840677966101695,24.48813559322034
128,34.59459459459459,34,174,4.840677966101695,24.772881355932203
129,34.86486486486486,34,176,4.840677966101695,25.057627118644067
130,35.13513513513514,34,176,4.840677966101695,25.057627118644067
131,35.4054054054054,34,177,4.840677966101695,25.2
132,35.67567567567568,34,176,4.840677966101695,25.057627118644067
133,35.945945945945944,34,176,4.840677966101695,25.057627118644067
134,36.21621621621622,34,176,4.840677966101695,25.057627118644067
135,36.486486486486484,34,176,4.840677966101695,25.057627118644067
136,36.75675675675676,34,173,4.840677966101695,24.63050847457627
137,37.027027027027025,34,168,4.840677966101695,23.91864406779661
138,37.2972972972973,34,166,4.840677966101695,23.633898305084745
139,37.567567567567565,34,169,4.840677966101695,24.061016949152542
140,37.83783783783784,34,173,4.840677966101695,24.63050847457627
141,38.108108108108105,34,176,4.840677966101695,25.057627118644067
142,38.37837837837838,34,176,4.840677966101695,25.057627118644067
143,38.648648648648646,34,180,4.840677966101695,25.627118644067796
144,38.91891891891892,34,181,4.840677966101695,25.769491525423728
145,39.189189189189186,34,183,4.840677966101695,26.054237288135592
146,39.45945945945946,34,184,4.840677966101695,26.196610169491525
147,39.729729729729726,34,184,4.840677966101695,26.196610169491525
148,40.0,34,184,4.840677966101695,26.196610169491525
149,40.27027027027027,34,183,4.840677966101695,26.054237288135592
150,40.54054054054054,34,176,4.840677966101695,25.057627118644067
151,40.81081081081081,34,172,4.840677966101695,24.48813559322034
152,41.08108108108108,34,172,4.840677966101695,24.48813559322034
153,41.35135135135135,34,174,4.840677966101695,24.772881355932203
154,41.62162162162162,34,176,4.840677966101695,25.057627118644067
155,41.89189189189189,34,180,4.840677966101695,25.627118644067796
156,42.16216216216216,34,184,4.840677966101695,26.196610169491525
157,42.43243243243243,34,186,4.840677966101695,26.48135593220339
158,42.7027027027027,34,188,4.840677966101695,26.766101694915253
159,42.97297297297297,34,189,4.840677966101695,26.908474576271185
160,43.24324324324324,34,190,4.840677966101695,27.050847457627118
161,43.51351351351351,34,190,4.840677966101695,27.050847457627118
162,43.78378378378378,34,189,4.840677966101695,26.908474576271185
163,44.05405405405405,34,188,4.840677966101695,26.766101694915253
164,44.32432432432432,34,185,4.840677966101695,26.338983050847457
165,44.59459459459459,34,180,4.840677966101695,25.627118644067796
166,44.86486486486486,34,176,4.840677966101695,25.057627118644067
167,45.13513513513513,34,176,4.840677966101695,25.057627118644067
168,45.4054054054054,34,181,4.840677966101695,25.769491525423728
169,45.67567567567567,34,184,4.840677966101695,26.196610169491525
170,45.945945945945944,34,188,4.840677966101695,26.766101694915253
171,46.21621621621621,34,190,4.840677966101695,27.050847457627118
172,46.486486486486484,34,192,4.840677966101695,27.335593220338982
173,46.75675675675676,34,192,4.840677966101695,27.335593220338982
174,47.027027027027025,34,192,4.840677966101695,27.335593220338982
175,47.2972972972973,34,192,4.840677966101695,27.335593220338982
176,47.567567567567565,34,192,4.840677966101695,27.335593220338982
177,47.83783783783784,36,192,5.125423728813559,27.335593220338982
178,48.108108108108105,36,189,5.125423728813559,26.908474576271185
179,48.37837837837838,35,184,4.983050847457627,26.196610169491525
180,48.648648648648646,35,181,4.983050847457627,25.769491525423728
181,48.91891891891892,34,184,4.840677966101695,26.196610169491525
182,49.189189189189186,34,187,4.840677966101695,26.62372881355932
183,49.45945945945946,34,191,4.840677966101695,27.19322033898305
184,49.729729729729726,34,192,4.840677966101695,27.335593220338982
185,50.0,34,196,4.840677966101695,27.90508474576271
186,50.27027027027027,34,197,4.840677966101695,28.047457627118643
187,50.54054054054054,34,198,4.840677966101695,28.189830508474575
188,50.81081081081081,34,199,4.840677966101695,28.332203389830507
189,51.08108108108108,34,199,4.840677966101695,28.332203389830507
190,51.35135135135135,35,198,4.983050847457627,28.189830508474575
191,51.62162162162162,38,197,5.410169491525424,28.047457627118643
192,51.89189189189189,38,192,5.410169491525424,27.335593220338982
193,52.16216216216216,37,188,5.2677966101694915,26.766101694915253
194,52.43243243243243,36,184,5.125423728813559,26.196610169491525
195,52.7027027027027,36,187,5.125423728813559,26.62372881355932
196,52.97297297297297,36,192,5.125423728813559,27.335593220338982
197,53.24324324324324,36,192,5.125423728813559,27.335593220338982
