frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,0,0,0.0,0.0
1,0.27027027027027023,0,0,0.0,0.0
2,0.5405405405405405,0,0,0.0,0.0
3,0.8108108108108107,0,0,0.0,0.0
4,1.081081081081081,0,0,0.0,0.0
5,1.3513513513513513,0,0,0.0,0.0
6,1.6216216216216215,0,0,0.0,0.0
7,1.8918918918918919,0,0,0.0,0.0
8,2.162162162162162,0,0,0.0,0.0
9,2.4324324324324325,34,48,4.840677966101695,6.8338983050847455
10,2.7027027027027026,34,56,4.840677966101695,7.972881355932204
11,2.972972972972973,34,64,4.840677966101695,9.111864406779661
12,3.243243243243243,34,69,4.840677966101695,9.823728813559322
13,3.513513513513513,34,76,4.840677966101695,10.820338983050847
14,3.7837837837837838,34,80,4.840677966101695,11.389830508474576
15,4.0540540540540535,34,88,4.840677966101695,12.528813559322034
16,4.324324324324324,34,94,4.840677966101695,13.383050847457627
17,4.594594594594595,34,96,4.840677966101695,13.667796610169491
18,4.864864864864865,34,104,4.840677966101695,14.80677966101695
19,5.135135135135135,35,108,4.983050847457627,15.376271186440679
20,5.405405405405405,40,112,5.694915254237288,15.945762711864408
21,5.675675675675675,43,117,6.122033898305085,16.65762711864407
22,5.945945945945946,48,122,6.8338983050847455,17.36949152542373
23,6.216216216216216,48,126,6.8338983050847455,17.938983050847458
24,6.486486486486486,51,132,7.261016949152542,18.79322033898305
25,6.756756756756756,53,136,7.545762711864407,19.36271186440678
26,7.027027027027026,56,140,7.972881355932204,19.93220338983051
27,7.297297297297297,58,144,8.257627118644068,20.501694915254237
28,7.5675675675675675,64,144,9.111864406779661,20.501694915254237
29,7.837837837837838,64,151,9.111864406779661,21.498305084745763
30,8.108108108108107,66,155,9.396610169491526,22.06779661016949
31,8.378378378378377,69,158,9.823728813559322,22.494915254237288
32,8.648648648648647,71,160,10.108474576271187,22.779661016949152
33,8.91891891891892,73,164,10.39322033898305,23.34915254237288
34,9.18918918918919,80,168,11.389830508474576,23.91864406779661
35,9.45945945945946,80,170,11.389830508474576,24.203389830508474
36,9.72972972972973,81,173,11.532203389830508,24.63050847457627
37,10.0,83,176,11.816949152542373,25.057627118644067
38,10.27027027027027,85,179,12.101694915254237,25.484745762711864
39,10.54054054054054,86,182,12.24406779661017,25.91186440677966
40,10.81081081081081,88,185,12.528813559322034,26.338983050847457
41,11.08108108108108,88,188,12.528813559322034,26.766101694915253
42,11.35135135135135,89,191,12.671186440677966,27.19322033898305
43,11.621621621621621,90,192,12.813559322033898,27.335593220338982
44,11.891891891891891,91,196,12.95593220338983,27.90508474576271
45,12.162162162162161,96,199,13.667796610169491,28.332203389830507
46,12.432432432432432,96,200,13.667796610169491,28.47457627118644
47,12.702702702702702,98,202,13.952542372881355,28.759322033898304
48,12.972972972972972,100,204,14.23728813559322,29.044067796610168
49,13.243243243243242,100,205,14.23728813559322,29.1864406779661
