frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,0,0,0.0,0.0
1,0.27027027027027023,34,1054,4.840677966101695,150.06101694915253
2,0.5405405405405405,34,1054,4.840677966101695,150.06101694915253
3,0.8108108108108107,0,0,0.0,0.0
4,1.081081081081081,0,0,0.0,0.0
5,1.3513513513513513,0,0,0.0,0.0
6,1.6216216216216215,0,0,0.0,0.0
7,1.8918918918918919,34,1054,4.840677966101695,150.06101694915253
8,2.162162162162162,0,0,0.0,0.0
9,2.4324324324324325,34,1054,4.840677966101695,150.06101694915253
10,2.7027027027027026,588,1054,83.71525423728814,150.06101694915253
11,2.972972972972973,34,1054,4.840677966101695,150.06101694915253
12,3.243243243243243,34,1054,4.840677966101695,150.06101694915253
13,3.513513513513513,34,1054,4.840677966101695,150.06101694915253
14,3.7837837837837838,0,0,0.0,0.0
15,4.0540540540540535,0,0,0.0,0.0
16,4.324324324324324,1053,1054,149.9186440677966,150.06101694915253
17,4.594594594594595,1048,1054,149.20677966101695,150.06101694915253
18,4.864864864864865,1044,1054,148.63728813559322,150.06101694915253
19,5.135135135135135,1040,1054,148.0677966101695,150.06101694915253
20,5.405405405405405,1036,1054,147.49830508474577,150.06101694915253
21,5.675675675675675,1035,1054,147.35593220338984,150.06101694915253
22,5.945945945945946,34,1054,4.840677966101695,150.06101694915253
23,6.216216216216216,34,200,4.840677966101695,28.47457627118644
24,6.486486486486486,1028,1054,146.3593220338983,150.06101694915253
25,6.756756756756756,1026,1054,146.07457627118643,150.06101694915253
26,7.027027027027026,34,1054,4.840677966101695,150.06101694915253
27,7.297297297297297,1024,1054,145.78983050847458,150.06101694915253
28,7.5675675675675675,1024,1054,145.78983050847458,150.06101694915253
29,7.837837837837838,1024,1054,145.78983050847458,150.06101694915253
30,8.108108108108107,34,176,4.840677966101695,25.057627118644067
31,8.378378378378377,34,1054,4.840677966101695,150.06101694915253
32,8.648648648648647,1016,1054,144.65084745762712,150.06101694915253
33,8.91891891891892,34,1054,4.840677966101695,150.06101694915253
34,9.18918918918919,1008,1054,143.51186440677967,150.06101694915253
35,9.45945945945946,34,1054,4.840677966101695,150.06101694915253
36,9.72972972972973,34,1054,4.840677966101695,150.06101694915253
37,10.0,1008,1054,143.51186440677967,150.06101694915253
38,10.27027027027027,1004,1054,142.94237288135594,150.06101694915253
39,10.54054054054054,34,1054,4.840677966101695,150.06101694915253
40,10.81081081081081,34,224,4.840677966101695,31.891525423728815
41,11.08108108108108,34,191,4.840677966101695,27.19322033898305
42,11.35135135135135,1008,1054,143.51186440677967,150.06101694915253
43,11.621621621621621,1000,1054,142.3728813559322,150.06101694915253
44,11.891891891891891,34,1054,4.840677966101695,150.06101694915253
45,12.162162162162161,34,1054,4.840677966101695,150.06101694915253
46,12.432432432432432,34,1054,4.840677966101695,150.06101694915253
47,12.702702702702702,34,1054,4.840677966101695,150.06101694915253
48,12.972972972972972,992,1054,141.23389830508475,150.06101694915253
49,13.243243243243242,34,1054,4.840677966101695,150.06101694915253
50,13.513513513513512,34,1054,4.840677966101695,150.06101694915253
51,13.783783783783782,34,1054,4.840677966101695,150.06101694915253
52,14.054054054054053,34,1054,4.840677966101695,150.06101694915253
53,14.324324324324323,992,1054,141.23389830508475,150.06101694915253
54,14.594594594594595,34,1054,4.840677966101695,150.06101694915253
55,14.864864864864865,34,1054,4.840677966101695,150.06101694915253
